FirstName,LastName,Department,Title
Michael,Scott,Executives,Regional Manager
Diane,Whitfield,Executives,Chief Financial Officer
Robert,Ellison,Executives,Chief Operating Officer
Karen,Delacroix,Executives,VP of Operations
Nick,Reyes,IT,Systems Administrator
Priya,Raman,IT,Network Engineer
Marcus,Webb,IT,Help Desk Technician
Tanya,Kowalski,IT,Security Analyst
Devin,Osei,IT,Systems Administrator
Sandra,Lim,IT,IT Manager
Aaron,Petrov,IT,Help Desk Technician
Angela,Martin,Accounting,Senior Accountant
Oscar,Martinez,Accounting,Accountant
Kevin,Malone,Accounting,Accountant
Rachel,Nguyen,Accounting,Accounts Payable Clerk
Thomas,Brennan,Accounting,Controller
Lydia,Fairbanks,Accounting,Senior Accountant
Curtis,Nakamura,Accounting,Staff Accountant
Bianca,Rossi,Accounting,Accounts Receivable Clerk
Derek,Solomon,Accounting,Financial Analyst
Nadia,Haddad,Accounting,Payroll Specialist
Grant,Whitmore,Accounting,Staff Accountant
Elena,Vasquez,Accounting,Internal Auditor
Peter,Kowalczyk,Accounting,Accounts Payable Clerk
Simone,Adeyemi,Accounting,Financial Analyst
James,Halpert,Sales,Sales Representative
Pamela,Beesly,Sales,Office Administrator
Dwight,Schrute,Sales,Assistant Regional Manager
Carla,Mendoza,Sales,Account Executive
Brian,Takahashi,Sales,Sales Representative
Olivia,Sinclair,Sales,Regional Sales Manager
Reggie,Thornton,Sales,Sales Representative
Yasmin,Farouk,Sales,Account Executive
Trevor,Blackwood,Sales,Inside Sales Representative
Monica,Delgado,Sales,Account Executive
Hugo,Bertrand,Sales,Sales Representative
Aisha,Kone,Sales,Sales Coordinator
Vincent,Moreau,Sales,Account Executive
Danielle,Okafor,Sales,Inside Sales Representative
Stuart,Kavanagh,Sales,Sales Representative
Renee,Beaulieu,Sales,Sales Coordinator
Malik,Johnson,Sales,Account Executive
Chloe,Pemberton,Sales,Inside Sales Representative
Andre,Lindqvist,Sales,Sales Representative
Tessa,Marchetti,Sales,Account Executive
Jonah,Feldman,Sales,Sales Representative
Whitney,Castellanos,Sales,Sales Coordinator
Ravi,Chandrasekaran,Sales,Regional Sales Manager
